"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Nick Cave & The Bad Seeds";"Wild God";"6d2JJCLcg02uteyuvFVmCq";"319";"2024";"47";"2024-08-18"
"David Bowie";"Get Real - Sounds Right Mix (feat. NATURE)";"0WzoCNIiEUEHi4IfVifu1Y";"257";"2024";"34";"2024-08-18"
"The Smile";"Friend Of A Friend";"4lTLmo9aTyMJ1SoHa63WA6";"275";"2024";"49";"2024-08-18"
"Rubi Ate the Fig";"In the Garden";"0RydYgXZ5dishJq9CkKbZA";"278";"2023";"26";"2024-08-18"
"The Lemon Twigs";"My Golden Years";"0BikNVR79txZhmczhZE68l";"194";"2024";"45";"2024-08-18"
"The Last Dinner Party";"Caesar on a TV Screen";"2w4cRBhWvHCsDpvyhiDkjq";"230";"2024";"60";"2024-08-18"
"St. Vincent";"Broken Man";"1kgLXgHrXecZyRCDROfAPb";"202";"2024";"51";"2024-08-18"
"Beth Gibbons";"Reaching Out";"6SF8YKvzCFxHuT9MzNzQPf";"255";"2024";"42";"2024-08-18"
"Belle and Sebastian";"What Happened to You, Son?";"7zVv9b6OHWjumvA4nZKXUR";"222";"2024";"35";"2024-08-18"
"Nick Cave";"Song For Amy";"6nIxglFBueQpnvaeCjG9gt";"200";"2024";"37";"2024-08-18"
"Laura Marling";"Patterns";"43wwn1EmqxcMOWYSd0Gk2Z";"261";"2024";"53";"2024-08-18"
"Florence + The Machine";"White Cliffs Of Dover";"6BkCP0wA12dDSCgFGX5rLJ";"181";"2024";"32";"2024-08-18"
"Linda Thompson";"Darling This Will Never Do";"0gQXZdjWPJEQZVIKzQrGaO";"191";"2024";"24";"2024-08-18"
"Peter Gabriel";"And Still - Dark-Side Mix";"3DJLGVfJnsN087EkfrYJVB";"465";"2023";"24";"2024-08-18"
"Richard Hawley";"Two for His Heels";"5CyiBDajrO1aszewcJ6s1M";"182";"2024";"37";"2024-08-18"
"David Gilmour";"Between Two Points (with Romany Gilmour)";"4mkHMcCZqgPehgnnmADHTc";"347";"2024";"54";"2024-08-18"
"Fergus McCreadie";"Stony Gate";"5oDIAO4seNRKDz01fLWAh1";"326";"2024";"33";"2024-08-18"
"Andrew Bird";"I Fall in Love Too Easily";"4ARqU3JF48LKnSend0AZHN";"239";"2024";"36";"2024-08-18"
"Frank Zappa";"Uncle Remus - Piano And Vocal Mix 2024";"78uoTxA9VoxlhHwpON8xwL";"200";"2024";"40";"2024-08-18"
"The Magic Lantern";"Trembling";"73JY1TB189qK9gUnKLrLKb";"260";"2024";"28";"2024-08-18"
"Lisa O'Neill";"Old Note";"7qK4lwgerNrajklBJPXlJI";"368";"2023";"38";"2024-08-18"
"Villagers";"You Lucky One";"5sTcB227je1ByKWTEBj2me";"295";"2024";"36";"2024-08-18"
"Nouvelle Vague";"This Charming Man";"5IJweqWW3OaSwnms9PIjSI";"200";"2024";"25";"2024-08-18"
"Lorde";"Take Me to the River";"5vmYMS6FR2b7J57OG0Cscl";"264";"2024";"57";"2024-08-18"
"MGMT";"Mother Nature";"1uVSlIdG9h6bYgcmlwMdg3";"236";"2024";"10";"2024-08-18"
"The Staves";"All Now";"63Q9xNRdq42QZN4f2NgNv8";"270";"2024";"21";"2024-08-18"
"Joni Mitchell";"Both Sides Now - Live at the Newport Folk Festival, Newport, RI, 7/24/2022";"57upfTI18EY3d5V0sv1WuC";"340";"2023";"30";"2024-08-18"
"Sheryl Crow";"Digging In The Dirt";"3ZbWD4SYQB2MQBVkadiUBQ";"324";"2024";"28";"2024-08-18"
"Marika Hackman";"No Caffeine";"1emvaO5ytjc0mZWqDjmig6";"192";"2024";"41";"2024-08-18"
"Love";"Five String Serenade";"4xAtOl3CJyKIhZLq4AwElm";"163";"2024";"30";"2024-08-18"
